"gene_names","var_zt","var_ict"
"CHIC2",0.8181,0.8033
"SMARCD3",1.0442,0.864
"TNFRSF4",1.1281,1.1224
"KLRB1",1.6793,1.3803
"TOMM40",1.3046,1.2407
"ADAP2",0.9028,1.0253
"KLF3",1.3721,1.3193
"RUNX2",1.6297,1.7917
"SULT1B1",0.8389,0.7901
"LTV1",1.1211,0.888
"NR3C1",1.3456,1.2038
"CPD",0.6138,0.4169
"ACAD8",1.8473,1.7627
"SH3GLB2",1.2417,1.2093
"TMEM143",1.6447,1.367
"FOS",0.6274,0.4797
"UBE2J1",1.4865,1.3939
"CPNE1",1.1812,1.0288
"EP400",0.9142,1.0606
"GPN3",1.3558,1.1
"CD6",1.2932,1.3937
"UGGT1",1.1866,0.8216
"TNFRSF14",1.2518,1.1651
"TRIM41",0.474,0.3973
"PHF2",1.4604,1.5146
"LPGAT1",0.8856,0.7281
"MKLN1",0.5741,0.4733
"ZNF148",1.5252,1.2851
"TARSL2",1.2571,1.0458
"LPCAT1",1.0205,1.0078
"METTL9",0.9875,1.0264
"S100PBP",1.4205,1.1829
"PFKP",0.6739,0.5142
"SMARCA5",1.8433,1.6211
"RNF166",0.7877,0.5713
"CMC1",1.6743,1.4526
"SLC29A1",1.1048,1.1611
"KRT72",1.8378,1.7615
"PIP4K2B",1.4468,1.5645
"ACD",1.1635,1.0763
"MAD1L1",1.6129,1.6823
"SNX27",0.8001,0.6367
"BCL2A1",1.1465,1.1453
"C12orf4",0.9046,0.6955
"AATK",0.6915,0.4569
"FBXO25",0.8283,0.6014
"BLMH",0.7254,0.5058
"TLE4",0.9627,0.851
"POLR3D",1.2722,1.153
"ZBTB4",0.4398,0.2622
"CAMP",1.031,1.2038
"UTP23",0.9828,0.8609
"SNTB1",1.5885,1.5388
"DUSP18",0.7976,0.6112
"RGS18",1.0872,1.0428
"TMEM11",1.3953,1.4313
"NOV",0.7069,0.5296
"ZNF146",0.953,0.803
"ILF3",0.6016,0.5314
"CREB5",0.7072,0.5925
"GZMM",1.7842,1.7747
"HIST1H2BC",0.7883,0.6136
"COQ9",1.5122,1.5812
"SYNRG",1.0285,1.2497
"DNAJC8",1.1667,0.9524
"HARS",1.4206,1.4558
"CCDC126",0.869,0.8395
"EEPD1",1.3529,1.1305
"UBE2D2",1.3428,1.2708
"KIAA0319L",0.8182,0.6671
"SNX2",1.3101,1.0906
"ATP2A2",1.3495,1.1001
"CD14",1.4568,1.0672
"BRMS1",1.4433,1.2289
"STX11",0.5003,0.3911
"TESC",1.2693,1.1383
"WDR33",1.2739,1.3207
"BTRC",1.4363,1.542
"EPC1",1.6741,1.7818
"GIPC1",1.5396,1.586
"SFPQ",1.208,1.3074
"TOMM20",0.8911,0.5919
"ZNF304",1.2766,1.0517
"BBX",1.4015,1.4576
"PLAGL1",0.4004,0.2394
"S1PR5",0.8315,0.8087
"BNIP1",1.5604,1.305
"MUM1",0.7594,0.8592
"SH3BGRL3",0.8336,0.7504
"SMC1A",0.8878,1.0747
"ELF1",1.7597,1.7242
"ICAM1",0.8902,0.7633
"COX5B",1.4284,1.5385
"RNF141",0.9184,0.8936
"ZFYVE26",1.2261,1.0711
"ZUFSP",1.1907,0.8854
"WDR70",1.0867,0.8212
"MTMR11",1.8549,1.8255
"OTUD4",0.8217,0.8675
"API5",1.0422,0.9459
"NLRC5",1.5468,1.6189
"JAK3",0.9994,0.7107
"FIP1L1",1.409,1.3296
"NADSYN1",1.7043,1.7116
"PBRM1",1.5913,1.3972
"TBC1D5",1.5277,1.4121
"PIP4K2A",1.527,1.4814
"MAGEF1",0.5272,0.3497
"ZNF655",0.9608,0.9391
"GRASP",0.5461,0.3659
"HNRNPU",0.6238,0.6678
"PHF21A",0.6667,0.5281
"PRPF6",0.8014,0.8236
"FMNL1",1.0489,0.8797
"TMEM147",1.2868,1.1762
"PLA2G12A",1.6027,1.3952
"SRM",1.4574,1.3985
"KIF21B",1.0834,0.9101
"SNX6",1.6745,1.5968
"NOD1",1.462,1.3673
"BAHD1",0.5724,0.4856
"UBR4",1.434,1.1679
"HSPBP1",1.7308,1.685
"GPATCH3",1.7628,1.6652
"PTP4A1",1.4698,1.4886
"IKZF5",1.37,1.121
"BRCC3",0.6832,0.508
"SNAPC2",1.4433,1.5237
"RAP1A",1.8433,1.9231
"TMOD2",1.6021,1.4349
"RAPGEF2",1.1779,1.0492
"USP21",1.343,1.331
"GNA13",1.3684,1.3004
"KPNB1",1.1594,0.9167
"IFT122",1.7267,1.6758
"SRP72",0.702,0.4493
"MTAP",0.9057,0.7751
"TMEM175",0.9142,0.8124
"PRRC1",0.839,0.852
"ARRDC3",1.4301,1.4117
"HCST",1.5768,1.6053
